Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
101,André Carrillo,pe PER,MF,Corinthians,34-355,1991,14,8,696,7.7,0,1,1,0,0,0,2,0,0,0.13,0.13,0,0.13,Matches
102,Rafael Carvalheira,br BRA,MF,Chapecoense,27-009,1999,14,11,893,9.9,2,0,2,2,0,0,2,0,0.2,0,0.2,0.2,0.2,Matches
103,Mateo Cassierra,co COL,FW,Atlético Mineiro,29-052,1997,14,7,674,7.5,2,1,3,2,0,0,1,0,0.27,0.13,0.4,0.27,0.4,Matches
104,Cássio,br BRA,GK,Cruzeiro,38-363,1987,5,5,421,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
105,Rodrigo Castillo,ar ARG,FW,Fluminense,27-098,1999,12,4,509,5.7,3,1,4,3,0,0,1,0,0.53,0.18,0.71,0.53,0.71,Matches
106,Franco Catarozzi,uy URU,MF,Remo,26-063,2000,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
107,Caue,br BRA,DF,RB Bragantino,19-173,2006,3,2,179,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
108,Murilo Cerqueira,br BRA,DF,Palmeiras,29-069,1997,15,15,"1,306",14.5,1,1,2,1,0,0,3,1,0.07,0.07,0.14,0.07,0.14,Matches
109,Kaio César,br BRA,MF,Corinthians,22-109,2004,6,2,295,3.3,1,1,2,1,0,0,2,0,0.31,0.31,0.61,0.31,0.61,Matches
110,Kayky Chagas,br BRA,MF,Internacional,22-358,2003,6,0,75,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
111,Chico,br BRA,"FW,MF",Mirassol,35-018,1991,2,0,44,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
112,Chiqueti,br BRA,MF,Athletico Paranaense,20-275,2005,8,0,221,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
113,Christian,br BRA,MF,Cruzeiro,25-167,2000,17,15,"1,249",13.9,5,3,8,5,0,0,1,0,0.36,0.22,0.58,0.36,0.58,Matches
114,Mamady Cissé,gn GUI,MF,Atlético Mineiro,19-154,2007,8,0,175,1.9,1,0,1,1,0,0,0,0,0.51,0,0.51,0.51,0.51,Matches
115,Walter Clar,py PAR,"DF,MF",Chapecoense,31-250,1994,10,9,765,8.5,3,1,4,1,2,2,0,0,0.35,0.12,0.47,0.12,0.24,Matches
116,Claudinho,br BRA,DF,Vitória,25-253,2000,2,1,115,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
117,Robert Conceição,br BRA,MF,Chapecoense,22-319,2003,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
118,Joaquín Correa,ar ARG,FW,Botafogo (RJ),31-295,1994,6,1,183,2,0,1,1,0,0,0,3,0,0,0.49,0.49,0,0.49,Matches
119,Tiago Coser,br BRA,DF,Coritiba,22-139,2004,15,10,912,10.1,1,0,1,1,0,0,1,1,0.1,0,0.1,0.1,0.1,Matches
120,Francisco da Costa,br BRA,FW,Cruzeiro,31-030,1995,7,1,191,2.1,0,1,1,0,0,0,0,0,0,0.47,0.47,0,0.47,Matches
121,Philippe Coutinho,br BRA,MF,Vasco da Gama,33-357,1992,3,3,257,2.9,1,0,1,1,0,0,0,0,0.35,0,0.35,0.35,0.35,Matches
122,João Cruz,br BRA,MF,Athletico Paranaense,20-023,2006,12,3,404,4.5,0,3,3,0,0,0,2,0,0,0.67,0.67,0,0.67,Matches
123,Tomás Cuello,ar ARG,MF,Atlético Mineiro,26-091,2000,17,14,"1,204",13.4,2,1,3,2,0,0,1,0,0.15,0.07,0.22,0.15,0.22,Matches
124,Carlos Cuesta,co COL,DF,Vasco da Gama,27-087,1999,8,8,719,8,0,1,1,0,0,0,1,1,0,0.13,0.13,0,0.13,Matches
125,Braian Cufré,ar ARG,"DF,MF",Remo,29-171,1996,1,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
126,Cuiabano,br BRA,DF,Vasco da Gama,23-108,2003,11,8,771,8.6,2,3,5,2,0,0,2,0,0.23,0.35,0.58,0.23,0.58,Matches
127,Matheus Cunha,br BRA,GK,Cruzeiro,25-011,2001,9,8,749,8.3,0,1,1,0,0,0,1,0,0,0.12,0.12,0,0.12,Matches
128,Danielzinho,br BRA,MF,São Paulo,31-212,1994,16,16,"1,274",14.2,1,1,2,1,0,0,1,0,0.07,0.07,0.14,0.07,0.14,Matches
129,Danilo,br BRA,DF,Flamengo,34-324,1991,4,2,205,2.3,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches
130,David,br BRA,FW,Vasco da Gama,30-230,1995,15,10,759,8.4,2,2,4,2,0,0,0,0,0.24,0.24,0.47,0.24,0.47,Matches
131,Giorgian De Arrascaeta,uy URU,MF,Flamengo,32-003,1994,10,9,740,8.2,3,1,4,2,1,1,1,0,0.36,0.12,0.49,0.24,0.36,Matches
132,Nicolás De La Cruz,uy URU,MF,Flamengo,29-003,1997,10,1,232,2.6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
133,Dell,br BRA,FW,Bahia,17-360,2008,4,0,72,0.8,0,0,0,0,0,0,0,1,0,0,0,0,0,Matches
134,Denilson,br BRA,MF,Mirassol,25-073,2001,10,7,491,5.5,1,0,1,1,0,0,1,0,0.18,0,0.18,0.18,0.18,Matches
135,Leonardo Derik,br BRA,"MF,DF",Athletico Paranaense,20-315,2005,10,4,505,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
136,Arthur Dias,br BRA,DF,Athletico Paranaense,19-055,2007,17,17,"1,492",16.6,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
137,Enzo Díaz,ar ARG,DF,São Paulo,30-179,1995,13,11,927,10.3,0,1,1,0,0,0,7,0,0,0.1,0.1,0,0.1,Matches
138,Lautaro Díaz,ar ARG,FW,Santos,28-014,1998,8,2,243,2.7,1,0,1,1,0,0,0,0,0.37,0,0.37,0.37,0.37,Matches
139,Dieguinho,br BRA,MF,Corinthians,18-323,2007,8,0,135,1.5,1,0,1,1,0,0,0,0,0.67,0,0.67,0.67,0.67,Matches
140,Diogenes,br BRA,GK,Santos,25-149,2001,2,2,180,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
