Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
355,Rasmus Vinderslev,dk DEN,MF,SønderjyskE,27,1997,26,16,"1,470",16.3,1,0,1,1,0,0,2,0,0.06,0,0.06,0.06,0.06,Matches
356,Leopold Wahlstedt,se SWE,GK,AGF,26,1999,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
357,Daniel Wass,dk DEN,MF,Brøndby,36,1989,25,18,"1,423",15.8,1,2,3,0,1,1,1,1,0.06,0.13,0.19,0,0.13,Matches
358,Villads Westh,dk DEN,MF,Silkeborg,21,2004,22,14,"1,281",14.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
359,Adam Wikman,se SWE,MF,Silkeborg,21,2003,13,13,960,10.7,0,1,1,0,0,0,0,0,0,0.09,0.09,0,0.09,Matches
360,Dalton Wilkins,nz NZL,DF,SønderjyskE,26,1999,7,0,127,1.4,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
361,Felix Winther,dk DEN,MF,FC Fredericia,25,2000,27,26,"2,255",25.1,3,2,5,3,0,0,5,0,0.12,0.08,0.2,0.12,0.2,Matches
362,Simon Wæver,dk DEN,"DF,MF",SønderjyskE,29,1996,27,20,"1,446",16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
363,Kevin Yakob,iq IRQ,MF,AGF,24,2000,26,17,"1,440",16,4,2,6,4,0,0,2,0,0.25,0.12,0.37,0.25,0.37,Matches
364,Caleb Yirenkyi,gh GHA,"MF,DF",Nordsjælland,19,2006,30,30,"2,610",29,2,6,8,2,0,0,9,0,0.07,0.21,0.28,0.07,0.28,Matches
365,Marcus Younis,au AUS,MF,Brøndby,20,2005,2,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
366,Yoram Zague,fr FRA,"MF,DF",FC Copenhagen,19,2006,7,2,152,1.7,2,0,2,2,0,0,1,0,1.18,0,1.18,1.18,1.18,Matches
367,Žan Zaletel,si SVN,DF,Viborg,25,1999,7,2,224,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
368,Arlet Zé,ch SUI,FW,Midtjylland,19,2006,1,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
369,Rúnar Þór Sigurgeirsson,is ISL,"MF,DF",SønderjyskE,25,1999,3,2,114,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
