Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
395,Badou Ndiaye,sn SEN,MF,Gaziantep FK,34,1990,12,3,420,4.7,0,1,1,0,0,0,4,0,0,0.21,0.21,0,0.21,Matches
396,Cherif Ndiaye,sn SEN,"FW,MF",Samsunspor,29,1996,23,16,"1,420",15.8,7,1,8,7,0,0,4,1,0.44,0.06,0.51,0.44,0.51,Matches
397,Wilfred Ndidi,ng NGA,MF,Beşiktaş,28,1996,25,23,"1,996",22.2,2,0,2,2,0,0,5,0,0.09,0,0.09,0.09,0.09,Matches
398,Renato Nhaga,gw GNB,MF,Galatasaray,18,2007,3,1,101,1.1,1,0,1,1,0,0,0,0,0.89,0,0.89,0.89,0.89,Matches
399,M'Baye Niang,sn SEN,FW,Gençlerbirliği,30,1994,26,19,"1,738",19.3,4,2,6,2,2,2,6,0,0.21,0.1,0.31,0.1,0.21,Matches
400,Rob Nizet,be BEL,DF,Gaziantep FK,23,2002,2,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
401,Joseph Nonge,be BEL,"MF,FW",Kocaelispor,20,2005,25,14,"1,195",13.3,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
402,Olivier Ntcham,cm CMR,MF,Samsunspor,29,1996,24,20,"1,599",17.8,2,1,3,1,1,2,3,0,0.11,0.06,0.17,0.06,0.11,Matches
403,Chibuike Nwaiwu,ng NGA,DF,Trabzonspor,22,2003,16,15,"1,309",14.5,3,1,4,3,0,0,0,0,0.21,0.07,0.28,0.21,0.28,Matches
404,Anthony Nwakaeme,ng NGA,MF,Trabzonspor,36,1989,15,7,644,7.2,0,2,2,0,0,0,1,0,0,0.28,0.28,0,0.28,Matches
