Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
175,Junior Kadile,fr FRA,MF,Servette FC,22,2002,13,12,"1,095",12.2,6,10,16,6,0,1,2,0,0.49,0.82,1.32,0.49,1.32,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
176,Mattias Käit,ee EST,MF,Thun,27,1998,29,24,"2,034",22.6,2,1,3,2,0,0,3,0,0.09,0.04,0.13,0.09,0.13,Matches
177,Mamadou Kaly Sene,sn SEN,FW,Lausanne-Sport,24,2001,3,3,258,2.9,3,0,3,3,0,1,1,0,1.05,0,1.05,1.05,1.05,Matches
178,Lindrit Kamberi,ch SUI,DF,Zürich,25,1999,34,31,"2,724",30.3,2,1,3,2,0,0,3,2,0.07,0.03,0.1,0.07,0.1,Matches
179,Enzo Kana-Biyik,fr FRA,FW,Lausanne-Sport,18,2007,21,5,534,5.9,1,0,1,1,0,0,1,0,0.17,0,0.17,0.17,0.17,Matches
180,Stefanos Kapino,gr GRE,GK,FC Winterthur,31,1994,37,37,"3,330",37,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
181,Sinan Karweina,de GER,FW,Luzern,26,1999,19,1,317,3.5,1,1,2,0,1,1,3,0,0.28,0.28,0.57,0,0.28,Matches
182,Pajtim Kasami,ch SUI,MF,FC Winterthur,33,1992,24,18,"1,458",16.2,5,0,5,5,0,0,5,0,0.31,0,0.31,0.31,0.31,Matches
183,Marvin Keller,ch SUI,GK,Young Boys,23,2002,38,38,"3,420",38,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
184,Damian Kelvin,ch SUI,DF,Lugano,23,2002,15,9,873,9.7,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
185,Ahmed Kendouci,dz ALG,MF,Lugano,26,1999,10,2,182,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
186,Philippe Keny,sn SEN,FW,Zürich,26,1999,32,31,"2,638",29.3,13,4,17,9,4,5,8,1,0.44,0.14,0.58,0.31,0.44,Matches
187,Ryan Kessler,ch SUI,DF,Sion,19,2005,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
188,Colin Kleine-Bekel,de GER,DF,St. Gallen,22,2003,14,9,893,9.9,1,0,1,1,0,0,4,0,0.1,0,0.1,0.1,0.1,Matches
189,Stefan Knežević,ch SUI,DF,Luzern,28,1996,24,22,"1,946",21.6,0,0,0,0,0,0,6,0,0,0,0,0,0,Matches
190,Sven Köhler,de GER,"DF,MF",Grasshopper,28,1996,12,12,"1,072",11.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
191,Koba Koindredi,fr FRA,MF,Basel,23,2001,28,10,"1,178",13.1,2,1,3,1,1,1,4,0,0.15,0.08,0.23,0.08,0.15,Matches
192,Benjamin Kololli,xk KVX,"MF,FW",Sion,33,1992,28,19,"1,329",14.8,7,2,9,3,4,4,3,0,0.47,0.14,0.61,0.2,0.34,Matches
