Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
274,Samuel Moutoussamy,cd COD,MF,Atromitos,28,1996,28,27,"2,332",25.9,3,0,3,3,0,0,5,0,0.12,0,0.12,0.12,0.12,Matches
275,Christos Mouzakitis,gr GRE,MF,Olympiacos,18,2006,26,10,"1,162",12.9,1,2,3,0,1,1,2,0,0.08,0.15,0.23,0,0.15,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
276,Mumo,es ESP,MF,Asteras Tripoli,30,1995,22,14,"1,216",13.5,0,1,1,0,0,0,6,1,0,0.07,0.07,0,0.07,Matches
277,Sebastian Musiolik,pl POL,FW,AE Kifisia,29,1996,8,1,180,2,1,0,1,1,0,0,0,0,0.5,0,0.5,0.5,0.5,Matches
278,Georgios Mygas,gr GRE,"DF,MF",Volos N.F.C.,31,1994,28,19,"1,694",18.8,0,1,1,0,0,0,8,0,0,0.05,0.05,0,0.05,Matches
279,Anestis Mythou,gr GRE,FW,PAOK,18,2007,10,2,278,3.1,3,1,4,3,0,0,0,0,0.97,0.32,1.29,0.97,1.29,Matches
280,Goni Naor,il ISR,MF,Larissa,26,1999,19,14,"1,370",15.2,0,1,1,0,0,0,4,0,0,0.07,0.07,0,0.07,Matches
281,Diogo Nascimento,pt POR,MF,Olympiacos,22,2002,19,11,973,10.8,1,2,3,1,0,0,0,0,0.09,0.18,0.28,0.09,0.28,Matches
282,Juan Neira,ar ARG,"MF,FW",OFI Crete,36,1989,16,5,488,5.4,4,2,6,2,2,2,4,0,0.74,0.37,1.11,0.37,0.74,Matches
283,Julien Ngoy,be BEL,"FW,MF",Larissa,27,1997,3,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
284,Giorgos Nikas,gr GRE,MF,Panathinaikos,25,1999,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
285,Giorgos Nikas,gr GRE,MF,Levadiakos,25,1999,11,4,412,4.6,1,0,1,1,0,0,0,0,0.22,0,0.22,0.22,0.22,Matches
286,Evangelos Nikolaou,gr GRE,"MF,DF",Panetolikos,21,2004,18,4,466,5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
287,Béni NKololo,,MF,Panetolikos,28,1996,12,10,950,10.6,4,1,5,2,2,3,3,0,0.38,0.09,0.47,0.19,0.28,Matches
288,Ché Nunnely,nl NED,MF,AE Kifisia,26,1999,12,8,716,8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
289,Ché Nunnely,nl NED,MF,Panserraikos,26,1999,12,11,857,9.5,1,1,2,1,0,0,4,0,0.11,0.11,0.21,0.11,0.21,Matches
290,Thiago Nuss,ar ARG,"MF,FW",OFI Crete,24,2001,25,24,"1,948",21.6,7,5,12,6,1,1,15,3,0.32,0.23,0.55,0.28,0.51,Matches
291,Moses Odubajo,eng ENG,DF,AEK Athens,32,1993,2,1,97,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
292,Chidera Okoh,ng NGA,FW,Asteras Tripoli,22,2003,18,5,585,6.5,1,0,1,1,0,0,3,0,0.15,0,0.15,0.15,0.15,Matches
293,Davíð Ólafsson,is ISL,"MF,DF",Larissa,30,1995,17,13,"1,204",13.4,0,1,1,0,0,0,3,0,0,0.07,0.07,0,0.07,Matches
294,Stephane Omeonga,be BEL,MF,Panserraikos,29,1996,30,26,"2,272",25.2,0,0,0,0,0,0,4,1,0,0,0,0,0,Matches
295,Bruno Onyemaechi,ng NGA,DF,Olympiacos,26,1999,17,14,"1,265",14.1,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
296,Francisco Ortega,ar ARG,DF,Olympiacos,26,1999,20,18,"1,608",17.9,1,3,4,1,0,0,4,0,0.06,0.17,0.22,0.06,0.22,Matches
