Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
538,Nabil Touaizi,ma MAR,MF,Alverca,24,2001,33,31,"2,818",31.3,1,5,6,0,1,1,7,0,0.03,0.16,0.19,0,0.16,Matches
539,Diogo Travassos,pt POR,"MF,FW",Moreirense,21,2004,29,27,"2,431",27,5,3,8,5,0,0,2,0,0.19,0.11,0.3,0.19,0.3,Matches
540,Alfonso Trezza,uy URU,MF,Arouca,26,1999,32,27,"2,317",25.7,9,2,11,9,0,0,2,1,0.35,0.08,0.43,0.35,0.43,Matches
541,Pedro Trigueira,pt POR,GK,AVS Futebol,37,1988,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
542,Francisco Trincão,pt POR,MF,Sporting CP,25,1999,34,32,"2,847",31.6,7,11,18,7,0,0,1,0,0.22,0.35,0.57,0.22,0.57,Matches
543,Anatolii Trubin,ua UKR,GK,Benfica,23,2001,32,32,"2,880",32,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
544,Antef Tsoungui,be BEL,"DF,MF",Estoril,22,2002,23,15,"1,375",15.3,0,0,0,0,0,0,8,0,0,0,0,0,0,Matches
545,Martin Turk,si SVN,GK,Estoril,21,2003,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
546,Ulisses,br BRA,DF,Nacional,25,1999,5,3,224,2.5,0,0,0,0,0,0,4,1,0,0,0,0,0,Matches
547,Georgios Vagiannidis,gr GRE,DF,Sporting CP,23,2001,22,11,"1,283",14.3,0,4,4,0,0,0,4,0,0,0.28,0.28,0,0.28,Matches
548,João Valido,pt POR,GK,Arouca,25,2000,9,9,810,9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
549,Lenny Vallier,fr FRA,DF,Nacional,26,1999,14,8,755,8.4,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
550,Alan Varela,ar ARG,MF,Porto,24,2001,30,27,"2,317",25.7,2,0,2,1,1,2,8,0,0.08,0,0.08,0.04,0.04,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
