,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
151,Sivert Heltne Nilsen,no NOR,"MF,DF",Aberdeen,33,1991,14,6,646,7.2,1,0,1,1,0,0,3,0,0.14,0,0.14,0.14,0.14,Matches
152,Liam Henderson,sct SCO,DF,Falkirk,28,1996,34,33,"3,002",33.4,1,0,1,1,0,0,5,1,0.03,0,0.03,0.03,0.03,Matches
153,Callum Hendry,sct SCO,FW,Motherwell,27,1997,21,8,740,8.2,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
154,Nicky Hogarth,sct SCO,GK,Falkirk,24,2001,7,6,557,6.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
155,Junior Hoilett,ca CAN,MF,Hibernian,35,1990,14,4,442,4.9,3,1,4,3,0,0,0,0,0.61,0.2,0.81,0.61,0.81,Matches
156,Joe Hugill,eng ENG,FW,Kilmarnock,21,2003,15,12,"1,089",12.1,8,2,10,7,1,1,3,0,0.66,0.17,0.83,0.58,0.74,Matches
157,Yang Hyunjun,kr KOR,"MF,FW",Celtic,23,2002,31,28,"2,054",22.8,8,1,9,8,0,0,1,0,0.35,0.04,0.39,0.35,0.39,Matches
158,Adam Idah,ie IRL,FW,Celtic,24,2001,2,2,142,1.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
159,Roland Idowu,ie IRL,"FW,MF",St Mirren,23,2002,26,16,"1,286",14.3,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
160,Kelechi Iheanacho,ng NGA,FW,Celtic,28,1996,13,4,495,5.5,5,0,5,2,3,3,2,0,0.91,0,0.91,0.36,0.36,Matches
161,Hayato Inamura,jp JPN,DF,Celtic,23,2002,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
162,Ethan Ingram,eng ENG,DF,Dundee,22,2003,3,1,99,1.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
163,Iurie Iovu,md MDA,DF,Dundee United,23,2002,27,27,"2,244",24.9,0,0,0,0,0,0,10,0,0,0,0,0,0,Matches
164,Jack Iredale,au AUS,DF,Hibernian,29,1996,34,32,"2,637",29.3,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
165,Jefté,br BRA,DF,Rangers,21,2003,1,1,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
166,Alexander Jensen,dk DEN,"MF,DF",Aberdeen,23,2001,27,21,"1,861",20.7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
167,Declan John,wls WAL,"MF,DF",St Mirren,30,1995,30,28,"2,365",26.3,1,5,6,1,0,0,1,0,0.04,0.19,0.23,0.04,0.23,Matches
168,Tyreece John-Jules,eng ENG,"FW,MF",Kilmarnock,24,2001,18,12,"1,149",12.8,8,2,10,8,0,0,2,0,0.63,0.16,0.78,0.63,0.78,Matches
169,Alistair Johnston,ca CAN,DF,Celtic,26,1998,7,6,498,5.5,0,1,1,0,0,0,2,0,0,0.18,0.18,0,0.18,Matches
170,Callum Jones,wls WAL,MF,Dundee,24,2001,27,12,"1,310",14.6,1,0,1,0,1,1,2,0,0.07,0,0.07,0,0,Matches
171,Eli Just,nz NZL,"MF,FW",Motherwell,25,2000,35,32,"2,683",29.8,7,7,14,7,0,0,4,0,0.23,0.23,0.47,0.23,0.47,Matches
172,Elton Kabangu,be BEL,"FW,MF",Hearts,27,1998,13,0,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
173,Brooklyn Kabongolo,fr FRA,DF,Livingston,22,2002,16,14,"1,200",13.3,2,0,2,2,0,0,3,1,0.15,0,0.15,0.15,0.15,Matches
174,Landry Kaboré,bf BFA,FW,Hearts,24,2001,25,14,"1,173",13,5,2,7,5,0,0,2,0,0.38,0.15,0.54,0.38,0.54,Matches
175,Jesper Karlsson,se SWE,"MF,FW",Aberdeen,27,1998,18,16,"1,284",14.3,5,0,5,3,2,2,2,0,0.35,0,0.35,0.21,0.21,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
176,Johnny Kenny,ie IRL,FW,Celtic,22,2003,15,8,687,7.6,4,2,6,4,0,0,0,0,0.52,0.26,0.79,0.52,0.79,Matches
177,Frankie Kent,eng ENG,DF,Hearts,29,1995,20,9,956,10.6,1,0,1,1,0,0,3,1,0.09,0,0.09,0.09,0.09,Matches
178,Krisztián Keresztes,hu HUN,DF,Dundee United,25,2000,35,34,"2,882",32,3,0,3,3,0,0,7,0,0.09,0,0.09,0.09,0.09,Matches
179,Sabah Kerjota,al ALB,FW,Hearts,23,2001,18,0,244,2.7,0,2,2,0,0,0,0,0,0,0.74,0.74,0,0.74,Matches
180,Cammy Kerr,sct SCO,"MF,DF",Livingston,29,1995,11,8,728,8.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
181,Topi Keskinen,fi FIN,MF,Aberdeen,22,2003,34,17,"1,538",17.1,3,3,6,3,0,0,5,0,0.18,0.18,0.35,0.18,0.35,Matches
182,Greg Kiltie,sct SCO,"MF,FW",Kilmarnock,28,1997,34,28,"2,291",25.5,4,7,11,4,0,0,4,0,0.16,0.27,0.43,0.16,0.43,Matches
183,Richard King,jm JAM,DF,St Mirren,23,2001,32,22,"1,982",22,2,1,3,2,0,0,7,1,0.09,0.05,0.14,0.09,0.14,Matches
184,Stephen Kingsley,sct SCO,"DF,MF",Hearts,31,1994,21,15,"1,390",15.4,2,1,3,2,0,0,1,0,0.13,0.06,0.19,0.13,0.19,Matches
185,Kjartan Kjartansson,is ISL,MF,Aberdeen,19,2006,8,3,265,2.9,0,1,1,0,0,0,1,0,0,0.34,0.34,0,0.34,Matches
186,Thibault Klidje,tg TOG,FW,Hibernian,24,2001,19,7,741,8.2,3,1,4,3,0,0,1,0,0.36,0.12,0.49,0.36,0.49,Matches
187,Mats Knoester,nl NED,DF,Aberdeen,26,1998,28,26,"2,206",24.5,0,0,0,0,0,0,6,0,0,0,0,0,0,Matches
188,Billy Koumetio,fr FRA,DF,Dundee,22,2002,21,13,"1,269",14.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
189,John Koutroumbis,au AUS,DF,Motherwell,27,1998,25,17,"1,462",16.2,1,0,1,1,0,0,1,0,0.06,0,0.06,0.06,0.06,Matches
190,Per Kristian Bråtveit,no NOR,GK,Aberdeen,29,1996,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
191,Yevhenii Kucherenko,ua UKR,GK,Dundee United,25,1999,12,12,"1,080",12,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
192,Alexandros Kyziridis,gr GRE,MF,Hearts,24,2000,38,32,"2,775",30.8,4,7,11,3,1,1,5,0,0.13,0.23,0.36,0.1,0.32,Matches
193,Samson Lawal,ng NGA,"DF,MF",Livingston,21,2004,15,7,777,8.6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
194,Zebedee Lawson,eng ENG,FW,Rangers,16,2008,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
195,Marko Lazetić,rs SRB,FW,Aberdeen,21,2004,27,10,"1,064",11.8,4,1,5,4,0,0,6,0,0.34,0.08,0.42,0.34,0.42,Matches
196,Marc Leonard,sct SCO,MF,Hearts,23,2001,13,13,"1,123",12.5,1,3,4,1,0,0,3,1,0.08,0.24,0.32,0.08,0.32,Matches
197,Dylan Levitt,wls WAL,MF,Hibernian,24,2000,12,4,396,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
198,Filip Lissah,cz CZE,DF,Falkirk,20,2004,27,26,"2,272",25.2,2,0,2,2,0,0,6,0,0.08,0,0.08,0.08,0.08,Matches
199,Dylan Lobban,sct SCO,"MF,DF",Aberdeen,19,2005,14,10,828,9.2,0,0,0,0,0,0,4,1,0,0,0,0,0,Matches
200,Emmanuel Longelo,eng ENG,DF,Motherwell,24,2000,36,31,"2,720",30.2,8,4,12,8,0,0,6,1,0.26,0.13,0.4,0.26,0.4,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
201,Tom Lowery,eng ENG,MF,Kilmarnock,27,1997,21,14,"1,204",13.4,1,1,2,1,0,0,4,1,0.07,0.07,0.15,0.07,0.15,Matches
202,Brad Lyons,nir NIR,MF,Kilmarnock,28,1997,31,23,"2,037",22.6,1,1,2,1,0,0,9,0,0.04,0.04,0.09,0.04,0.09,Matches
203,Ross MacIver,sct SCO,FW,Falkirk,26,1999,12,9,743,8.3,3,1,4,3,0,0,0,0,0.36,0.12,0.48,0.36,0.48,Matches
204,Sean Mackie,sct SCO,DF,Falkirk,26,1998,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
205,Daizen Maeda,jp JPN,"FW,MF",Celtic,27,1997,36,32,"2,833",31.5,14,6,20,14,0,0,6,0,0.44,0.19,0.64,0.44,0.64,Matches
206,Kyle Magennis,sct SCO,MF,Kilmarnock,26,1998,6,0,76,0.8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
207,Mikael Mandron,fr FRA,FW,St Mirren,30,1994,35,28,"2,510",27.9,4,5,9,4,0,0,4,0,0.14,0.18,0.32,0.14,0.32,Matches
208,Alasana Manneh,gm GAM,MF,Hibernian,27,1998,1,0,11,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
209,Louie Marsh,eng ENG,"MF,FW",Falkirk,21,2003,7,4,351,3.9,1,2,3,1,0,0,1,0,0.26,0.51,0.77,0.26,0.77,Matches
210,Tawanda Maswanhise,zw ZIM,"FW,MF",Motherwell,22,2002,35,35,"2,852",31.7,17,2,19,14,3,3,1,0,0.54,0.06,0.6,0.44,0.5,Matches
211,Rogers Mato,ug UGA,MF,Hearts,21,2003,3,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
212,Rabbi Matondo,wls WAL,"FW,MF",Rangers,24,2000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
213,Alex Matthias Tamm,ee EST,FW,Livingston,24,2001,5,0,55,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
214,Stevie May,sct SCO,"FW,MF",Livingston,32,1992,34,24,"1,901",21.1,2,2,4,2,0,0,6,0,0.09,0.09,0.19,0.09,0.19,Matches
215,Ashley Maynard-Brewer,au AUS,GK,Dundee United,26,1999,10,10,867,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
216,Lewis Mayo,sct SCO,DF,Kilmarnock,25,2000,24,20,"1,815",20.2,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
217,Zander McAllister,sct SCO,MF,Motherwell,17,2008,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
218,Aiden McCallion,sct SCO,MF,Rangers,17,2008,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
219,Leon McCann,sct SCO,DF,Falkirk,25,2000,26,25,"2,143",23.8,0,3,3,0,0,0,6,0,0,0.13,0.13,0,0.13,Matches
220,Jamie McCart,sct SCO,DF,Hearts,28,1997,20,6,643,7.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
221,Rocco McColm,sct SCO,MF,Motherwell,17,2008,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
222,Luke McCowan,sct SCO,"MF,FW",Celtic,27,1997,30,12,"1,247",13.9,1,1,2,1,0,0,2,0,0.07,0.07,0.14,0.07,0.14,Matches
223,Jon McCracken,sct SCO,GK,Dundee,25,2000,35,35,"3,125",34.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
224,Oisin McEntee,ie IRL,"DF,MF",Hearts,24,2001,28,25,"2,016",22.4,2,3,5,2,0,0,5,0,0.09,0.13,0.22,0.09,0.22,Matches
225,Jordan McGhee,sct SCO,"DF,MF",Motherwell,29,1996,7,0,74,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
226,Paul McGinn,sct SCO,DF,Motherwell,34,1990,33,32,"2,882",32,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
227,Ryan McGowan,au AUS,DF,Livingston,35,1989,23,20,"1,862",20.7,0,1,1,0,0,0,4,1,0,0.05,0.05,0,0.05,Matches
228,Jamie McGrath,ie IRL,MF,Hibernian,28,1996,34,30,"2,386",26.5,8,4,12,5,3,4,6,1,0.3,0.15,0.45,0.19,0.34,Matches
229,Callum McGregor,sct SCO,MF,Celtic,32,1993,37,36,"3,194",35.5,2,3,5,2,0,0,9,0,0.06,0.08,0.14,0.06,0.14,Matches
230,Tom McIntyre,sct SCO,DF,Aberdeen,26,1998,3,3,223,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
231,Barrie McKay,sct SCO,MF,Livingston,30,1994,7,2,288,3.2,0,2,2,0,0,0,0,0,0,0.62,0.62,0,0.62,Matches
232,Rory McKenzie,sct SCO,MF,Kilmarnock,31,1993,19,3,439,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
233,Connor McLennan,sct SCO,"FW,MF",Livingston,25,1999,16,8,768,8.5,3,0,3,3,0,0,6,0,0.35,0,0.35,0.35,0.35,Matches
234,Conor McMenamin,nir NIR,MF,St Mirren,29,1995,26,14,"1,202",13.4,1,1,2,1,0,0,1,0,0.07,0.07,0.15,0.07,0.15,Matches
235,Caiden McMillan,,FW,St Mirren,,,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
236,Jayden Meghoma,eng ENG,"DF,MF",Rangers,19,2006,29,25,"2,094",23.3,1,4,5,1,0,0,4,0,0.04,0.17,0.21,0.04,0.21,Matches
237,Kanayochukwu Megwa,eng ENG,"MF,DF",Hibernian,21,2004,12,8,688,7.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
238,Nicolas Milanovic,au AUS,MF,Aberdeen,23,2001,15,5,531,5.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
239,Calvin Miller,sct SCO,MF,Falkirk,27,1998,38,36,"2,877",32,7,9,16,4,3,3,6,0,0.22,0.28,0.5,0.13,0.41,Matches
240,Harry Milne,sct SCO,"DF,MF",Hearts,28,1996,30,29,"2,473",27.5,1,6,7,1,0,0,8,0,0.04,0.22,0.25,0.04,0.25,Matches
241,Jack Milne,sct SCO,DF,Aberdeen,22,2003,35,32,"2,935",32.6,0,0,0,0,0,0,3,1,0,0,0,0,0,Matches
242,Bojan Miovski,mk MKD,FW,Rangers,26,1999,30,14,"1,309",14.5,7,1,8,7,0,0,3,0,0.48,0.07,0.55,0.48,0.55,Matches
243,Zach Mitchell,eng ENG,DF,Hibernian,20,2005,2,1,129,1.4,0,1,1,0,0,0,0,0,0,0.7,0.7,0,0.7,Matches
244,Dimitar Mitov,bg BUL,GK,Aberdeen,28,1997,32,32,"2,880",32,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
245,Nikolaj Moller,se SWE,FW,Dundee United,23,2002,19,7,790,8.8,0,2,2,0,0,0,4,0,0,0.23,0.23,0,0.23,Matches
246,Gavin Molloy,ie IRL,"DF,MF",Aberdeen,23,2001,18,14,"1,320",14.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
247,Cristian Montaño,co COL,"DF,MF",Livingston,33,1991,26,21,"1,749",19.4,2,3,5,2,0,0,7,1,0.1,0.15,0.26,0.1,0.26,Matches
248,Adam Montgomery,sct SCO,DF,Livingston,23,2002,8,8,650,7.2,0,1,1,0,0,0,2,0,0,0.14,0.14,0,0.14,Matches
249,Evan Mooney,sct SCO,FW,St Mirren,17,2007,11,0,226,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
250,Mikey Moore,eng ENG,"MF,FW",Rangers,17,2007,33,25,"2,155",23.9,7,3,10,7,0,0,2,0,0.29,0.13,0.42,0.29,0.42,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
251,Shayden Morris,eng ENG,MF,Aberdeen,23,2001,2,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
252,Liam Morrison,sct SCO,DF,Aberdeen,22,2003,14,13,"1,102",12.2,1,0,1,1,0,0,4,1,0.08,0,0.08,0.08,0.08,Matches
253,Robbie Muirhead,sct SCO,"FW,MF",Livingston,29,1996,33,17,"1,548",17.2,5,2,7,3,2,4,7,0,0.29,0.12,0.41,0.17,0.29,Matches
254,Ryan Mullen,sct SCO,GK,St Mirren,24,2001,2,0,84,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
255,Josh Mulligan,sct SCO,MF,Hibernian,22,2002,24,21,"1,899",21.1,1,5,6,1,0,0,7,0,0.05,0.24,0.28,0.05,0.28,Matches
256,Dane Murray,sct SCO,DF,Celtic,22,2003,7,4,398,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
257,Simon Murray,sct SCO,FW,Dundee,33,1992,32,24,"1,946",21.6,7,0,7,5,2,2,3,1,0.32,0,0.32,0.23,0.23,Matches
258,Dario Naamo,iq IRQ,"MF,DF",Dundee United,20,2005,19,8,863,9.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
259,Lewis Neilson,sct SCO,DF,Falkirk,22,2003,16,14,"1,279",14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
260,Aidan Nesbitt,sct SCO,MF,Falkirk,28,1997,4,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
261,Joe Newell,eng ENG,MF,Hibernian,32,1993,14,3,410,4.6,1,0,1,1,0,0,2,0,0.22,0,0.22,0.22,0.22,Matches
262,Sam Nicholson,sct SCO,"FW,MF",Motherwell,30,1995,10,0,122,1.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
263,Kevin Nisbet,sct SCO,FW,Aberdeen,28,1997,35,26,"2,238",24.9,9,1,10,7,2,2,3,0,0.36,0.04,0.4,0.28,0.32,Matches
264,Dan Nlundulu,eng ENG,FW,St Mirren,26,1999,27,16,"1,540",17.1,3,0,3,3,0,0,2,0,0.18,0,0.18,0.18,0.18,Matches
265,Joel Nouble,eng ENG,FW,Livingston,29,1996,10,7,552,6.1,1,2,3,1,0,0,0,0,0.16,0.33,0.49,0.16,0.49,Matches
266,Clinton Nsiala,fr FRA,DF,Rangers,21,2004,3,0,52,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
267,Benjamin Nygren,se SWE,"MF,FW",Celtic,24,2001,38,29,"2,536",28.2,16,5,21,16,0,0,4,0,0.57,0.18,0.75,0.57,0.75,Matches
268,Stephen O'Donnell,sct SCO,DF,Motherwell,33,1992,35,25,"2,180",24.2,0,3,3,0,0,0,1,0,0,0.12,0.12,0,0.12,Matches
269,Kieran O'Hara,ie IRL,GK,Dundee,29,1996,4,3,295,3.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
270,Mark O'Hara,sct SCO,MF,St Mirren,29,1995,23,20,"1,649",18.3,0,1,1,0,0,0,1,0,0,0.05,0.05,0,0.05,Matches
271,Warren O'Hora,ie IRL,DF,Hibernian,26,1999,29,27,"2,474",27.5,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
272,Jordan Obita,ug UGA,"MF,DF",Hibernian,31,1993,26,19,"1,824",20.3,1,5,6,1,0,0,6,0,0.05,0.25,0.3,0.05,0.3,Matches
273,Trey Ogunsuyi,eng ENG,FW,Falkirk,18,2006,9,2,225,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
274,Gary Oliver,sct SCO,"FW,MF",Falkirk,30,1995,5,0,84,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
275,Toyosi Olusanya,eng ENG,"FW,MF",Aberdeen,27,1997,16,11,"1,039",11.5,2,2,4,2,0,0,1,0,0.17,0.17,0.35,0.17,0.35,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
276,Oluwatobi Oluwayemi,eng ENG,GK,Kilmarnock,22,2003,12,12,"1,080",12,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
277,Charley Oosenbrugh,sct SCO,DF,Dundee,16,2009,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
278,Callum Osmand,wls WAL,FW,Celtic,19,2005,2,0,33,0.4,1,1,2,1,0,0,0,0,2.73,2.73,5.45,2.73,5.45,Matches
279,Detlef Osong,eng ENG,FW,Motherwell,20,2004,8,0,74,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
280,Alex Oxlade-Chamberlain,eng ENG,MF,Celtic,31,1993,9,5,424,4.7,2,0,2,2,0,0,1,0,0.42,0,0.42,0.42,0.42,Matches
281,Ante Palaversa,hr CRO,MF,Aberdeen,25,2000,14,5,566,6.3,0,1,1,0,0,0,3,0,0,0.16,0.16,0,0.16,Matches
282,Isaac Pappoe,gh GHA,MF,Dundee United,21,2003,1,1,82,0.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
283,Ben Parkinson,eng ENG,FW,Falkirk,20,2005,9,1,217,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
284,Felix Passlack,de GER,MF,Hibernian,27,1998,13,13,"1,109",12.3,2,3,5,2,0,0,3,1,0.16,0.24,0.41,0.16,0.41,Matches
285,Killian Phillips,ie IRL,MF,St Mirren,23,2002,37,37,"3,168",35.2,4,0,4,4,0,0,9,0,0.11,0,0.11,0.11,0.11,Matches
286,Scott Pittman,sct SCO,MF,Livingston,33,1992,35,29,"2,581",28.7,5,2,7,5,0,0,5,0,0.17,0.07,0.24,0.17,0.24,Matches
287,Dante Polvara,us USA,MF,Aberdeen,25,2000,18,11,"1,047",11.6,1,0,1,1,0,0,1,0,0.09,0,0.09,0.09,0.09,Matches
288,Liam Polworth,sct SCO,MF,Kilmarnock,30,1994,29,20,"1,644",18.3,1,1,2,1,0,0,3,0,0.05,0.05,0.11,0.05,0.11,Matches
289,Oscar Priestman,au AUS,MF,Motherwell,22,2003,28,10,"1,108",12.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
290,Jérôme Prior,fr FRA,GK,Livingston,29,1995,38,38,"3,420",38,0,1,1,0,0,0,4,0,0,0.03,0.03,0,0.03,Matches
291,Anthony Ralston,sct SCO,DF,Celtic,26,1998,24,14,"1,303",14.5,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
292,Nicolas Raskin,be BEL,MF,Rangers,24,2001,33,31,"2,783",30.9,6,7,13,6,0,0,7,0,0.19,0.23,0.42,0.19,0.42,Matches
293,Charlie Reilly,sct SCO,MF,Dundee,23,2001,21,2,375,4.2,1,2,3,1,0,0,2,0,0.24,0.48,0.72,0.24,0.72,Matches
294,Dave Richards,wls WAL,GK,Dundee United,31,1993,17,16,"1,473",16.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
295,Jayden Richardson,eng ENG,"MF,DF",St Mirren,24,2000,34,22,"1,971",21.9,0,0,0,0,0,0,1,1,0,0,0,0,0,Matches
296,Clark Robertson,sct SCO,DF,Dundee,31,1993,15,15,"1,275",14.2,2,1,3,2,0,0,3,0,0.14,0.07,0.21,0.14,0.21,Matches
297,Finlay Robertson,sct SCO,MF,Dundee,22,2002,25,14,"1,301",14.5,3,2,5,3,0,0,6,0,0.21,0.14,0.35,0.21,0.35,Matches
298,Junior Robinson,eng ENG,MF,Livingston,21,2004,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
299,Tuur Rommens,be BEL,DF,Rangers,22,2003,10,8,712,7.9,1,2,3,1,0,0,1,0,0.13,0.25,0.38,0.13,0.38,Matches
300,Kelle Roos,nl NED,GK,Kilmarnock,33,1992,11,11,990,11,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
301,Ethan Ross,sct SCO,MF,Falkirk,23,2001,29,7,928,10.3,1,1,2,1,0,0,3,0,0.1,0.1,0.19,0.1,0.19,Matches
302,Luca Ross,sct SCO,FW,Motherwell,18,2006,9,0,50,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
303,Joe Rothwell,eng ENG,MF,Rangers,30,1995,8,5,409,4.5,0,1,1,0,0,0,0,0,0,0.22,0.22,0,0.22,Matches
304,Zak Rudden,sct SCO,FW,Livingston,25,2000,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
305,Johnny Russell,sct SCO,FW,Dundee United,35,1990,7,1,155,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
306,Ibrahim Said,ng NGA,"MF,FW",Motherwell,23,2002,38,25,"2,247",25,3,0,3,3,0,0,6,0,0.12,0,0.12,0.12,0.12,Matches
307,Raphael Sallinger,at AUT,GK,Hibernian,29,1995,33,33,"2,893",32.1,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches
308,Imari Samuels,eng ENG,"DF,MF",Dundee,22,2003,33,21,"2,100",23.3,0,1,1,0,0,0,1,0,0,0.04,0.04,0,0.04,Matches
309,Zac Sapsford,au AUS,"FW,MF",Dundee United,22,2002,38,31,"2,640",29.3,9,2,11,8,1,2,4,0,0.31,0.07,0.37,0.27,0.34,Matches
310,Marcelo Saracchi,uy URU,DF,Celtic,27,1998,19,8,668,7.4,1,2,3,1,0,0,1,0,0.13,0.27,0.4,0.13,0.4,Matches
311,Liam Scales,ie IRL,DF,Celtic,26,1998,37,34,"3,101",34.5,0,3,3,0,0,0,12,0,0,0.09,0.09,0,0.09,Matches
312,Ashton Scally,sct SCO,DF,Rangers,15,2010,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
313,Dane Scarlett,eng ENG,FW,Hibernian,21,2004,13,6,517,5.7,1,1,2,1,0,0,2,0,0.17,0.17,0.35,0.17,0.35,Matches
314,Michael Schjønning-Larsen,ee EST,DF,Kilmarnock,24,2001,18,16,"1,251",13.9,2,1,3,2,0,0,1,0,0.14,0.07,0.22,0.14,0.22,Matches
315,Kasper Schmeichel,dk DEN,GK,Celtic,38,1986,26,26,"2,340",26,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
316,Alexander Schwolow,de GER,GK,Hearts,33,1992,32,32,"2,834",31.5,0,0,0,0,0,0,0,1,0,0,0,0,0,Matches
317,Vicko Sevelj,hr CRO,"MF,DF",Dundee United,24,2000,33,29,"2,555",28.4,0,3,3,0,0,0,7,1,0,0.11,0.11,0,0.11,Matches
318,Lawrence Shankland,sct SCO,FW,Hearts,29,1995,29,28,"2,489",27.7,16,3,19,13,3,4,4,0,0.58,0.11,0.69,0.47,0.58,Matches
319,Andrew Shinnie,sct SCO,"FW,MF",Livingston,36,1989,6,0,186,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
