,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
551,Adrian Zeljković,si SVN,MF,Viktoria Plzeň,22,2002,13,3,387,4.3,0,1,1,0,0,0,2,0,0,0.23,0.23,0,0.23,Matches
552,Vladimír Zeman,,MF,Bohemians 1905,24,2000,12,7,637,7.1,2,2,4,2,0,0,0,0,0.28,0.28,0.57,0.28,0.57,Matches
553,Viktor Zentrich,,MF,Hradec Králové,22,2003,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
554,Jan Zíka,,MF,Mladá Boleslav,19,2006,23,14,"1,267",14.1,1,0,1,1,0,0,4,0,0.07,0,0.07,0.07,0.07,Matches
555,David Zima,cz CZE,DF,Slavia Prague,24,2000,24,22,"1,857",20.6,1,2,3,1,0,0,2,0,0.05,0.1,0.15,0.05,0.15,Matches
556,Jiří Zima,,MF,FK Pardubice,17,2007,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
557,Matěj Žitný,cz CZE,MF,Dukla Prague,20,2005,19,10,930,10.3,0,1,1,0,0,0,1,0,0,0.1,0.1,0,0.1,Matches
558,Tomás Zlatohlávek,cz CZE,"FW,MF",Teplice,25,2000,13,11,790,8.8,0,1,1,0,0,0,2,0,0,0.11,0.11,0,0.11,Matches
559,Tomás Zlatohlávek,cz CZE,"FW,MF",Baník Ostrava,25,2000,13,4,406,4.5,0,1,1,0,0,0,2,0,0,0.22,0.22,0,0.22,Matches
560,Ondřej Zmrzlý,cz CZE,"MF,DF",Slavia Prague,26,1999,11,7,522,5.8,0,1,1,0,0,0,1,0,0,0.17,0.17,0,0.17,Matches
561,Filip Zorvan,cz CZE,MF,Jablonec,29,1996,27,20,"1,622",18,2,2,4,2,0,0,2,0,0.11,0.11,0.22,0.11,0.22,Matches
