,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
37,Luis Angulo,co COL,MF,Talleres–C,22-073,2004,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
38,Federico Anselmo,ar ARG,FW,Banfield,32-048,1994,4,0,52,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
39,Felipe Anso,ar ARG,MF,Aldosivi,19-088,2007,3,3,231,2.6,1,0,1,1,0,0,0,0,0.39,0,0.39,0.39,0.39,Matches
40,Fermín Antonini,ar ARG,MF,Gimnasia–M,28-337,1997,12,10,755,8.4,0,1,1,0,0,0,4,0,0,0.12,0.12,0,0.12,Matches
41,Juan Antonini,ar ARG,DF,Estudiantes–RC,27-092,1999,11,10,895,9.9,0,0,0,0,0,0,0,1,0,0,0,0,0,Matches
42,Dylan Aquino,ar ARG,MF,Lanús,21-000,2005,12,4,448,5,5,1,6,5,0,0,4,0,1,0.2,1.21,1,1.21,Matches
43,Tomás Aranda,ar ARG,"MF,FW",Boca Juniors,19-026,2007,13,6,648,7.2,1,2,3,1,0,0,2,0,0.14,0.28,0.42,0.14,0.42,Matches
44,Danilo Arboleda,co COL,DF,Banfield,31-019,1995,14,14,"1,194",13.3,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
45,Alex Arce,py PAR,FW,Ind. Rivadavia,30-353,1995,9,3,388,4.3,2,0,2,2,0,0,1,0,0.46,0,0.46,0.46,0.46,Matches
46,Ignacio Arce,ar ARG,GK,Deportivo Riestra,34-057,1992,16,16,"1,440",16,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
47,Gabriel Arias,cl CHI,GK,Newell's Old Boys,38-264,1987,7,7,612,6.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
