player,club,games_played,games_started,minutes,substitutions,goals,pass_pct,assists,conversion_pct,shots_on_target,key_passes,xg,fouls_committed,fouls_suffered,offsides,yellow_cards,red_cards
A. Alves Santos,POR,13,11,937,2,2,87,1,24,5,12,2.43,10,20,6,0,0
E. Sabbi,VAN,11,7,609,4,2,78,2,21,9,11,3.48,16,11,0,2,0
S. Moreno,DAL,10,6,508,4,2,79,1,9,7,14,1.6,5,5,1,1,0
L. Bartlett,DC,15,15,1347,0,2,69,0,13,4,6,2.32,25,13,2,4,0
J. Ferreira,SEA,13,11,866,2,2,79,5,21,8,29,2.51,9,5,3,1,0
J. Bamba,CHI,9,8,660,1,2,81,2,17,7,10,2.13,8,11,3,2,0
M. Choinière,LAFC,15,8,754,7,2,92,2,10,3,9,0.47,9,6,0,0,0
C. Harris,SKC,14,12,1011,2,2,79,4,28,11,9,2.97,12,28,3,1,0
J. Bell,ATX,14,7,722,7,2,84,0,7,3,4,0.59,4,1,1,1,0
B. Leroux,SJ,14,13,1083,1,2,81,5,23,7,15,2.78,14,21,0,2,0
L. Sanabria,LA,15,10,880,5,2,86,1,12,3,6,1.22,12,14,1,4,0
A. Hezarkhani,RSL,13,8,560,5,2,75,0,12,6,7,0.73,8,14,0,1,0
B. Ceballos,NE,8,8,633,0,2,87,0,3,2,4,0.94,13,10,0,3,0
H. Picard,CLB,15,8,751,7,2,84,2,20,8,10,2.56,6,7,3,0,0
D. Etienne Jr.,TOR,11,6,645,5,2,76,1,10,8,7,1.24,8,9,7,0,0
B. Zamblé,SD,7,1,132,6,2,76,0,3,2,0,0.36,0,7,0,0,0
A. Lassiter,POR,9,1,178,8,2,79,1,6,4,2,0.7,2,4,2,1,0
K. Parks,NYC,14,10,826,4,2,84,0,9,3,8,1.4,20,10,2,3,0
J. Peglow,DC,15,15,1292,0,1,78,3,25,6,26,1.99,27,10,1,4,0
K. Ferreira,DAL,15,12,1114,3,1,82,2,12,3,10,1.29,15,22,3,2,0
C. Cowell,RBNY,13,13,887,0,1,75,5,27,11,20,2.81,10,9,2,1,0
H. Ojediran,COL,13,13,953,0,1,93,1,12,3,3,0.36,26,14,0,6,0
J. Bueno,PHI,9,6,467,3,1,82,1,9,5,3,0.69,8,13,0,2,0
S. Reguilón,MIA,6,5,358,1,1,77,0,3,1,6,0.3,7,4,1,1,0
M. Guilavogui,RSL,12,9,826,3,1,85,5,30,13,15,3.7,17,18,0,4,0
E. Izoita,POR,1,1,90,0,1,71,0,1,1,0,0.03,2,0,0,0,0
P. Soma,SD,9,4,399,5,1,94,2,3,1,3,0.1,10,3,0,2,0
N. Fernandez,SJ,11,3,312,8,1,76,3,9,2,6,0.93,5,7,0,0,0
V. Loturi,MTL,14,13,1142,1,1,86,1,6,1,7,0.38,17,20,0,3,0
T. Chancalay,MIN,15,13,1119,2,1,82,4,33,10,20,2.25,22,16,1,3,0
B. Damiani,PHI,15,13,1114,2,1,69,0,30,5,10,3.56,23,26,2,2,0
T. Baumgartl,STL,14,14,1260,0,1,93,0,2,1,0,0.29,9,6,1,2,0
M. Peltola,DC,15,15,1321,0,1,80,1,13,2,14,0.6,17,26,0,1,0
R. Priso,VAN,6,5,466,1,1,94,0,1,1,4,0.86,6,3,0,0,0
F. Mora,POR,10,4,359,6,1,85,0,6,3,3,1.52,1,9,4,1,0
B. McSorley,STL,12,0,173,12,1,78,0,9,5,3,0.92,5,5,0,2,0
C. Capemba,SKC,8,7,528,1,1,77,0,11,5,4,1.36,16,8,3,2,0
M. García,SKC,14,11,1001,3,1,79,4,6,2,26,0.29,12,29,1,2,0
A. Jackson,VAN,10,7,529,3,1,83,1,17,9,3,0.93,5,12,2,0,0
D. Gazdag,CLB,11,7,553,4,1,88,1,9,2,3,1.26,3,16,5,0,0
J. Palacios,NSH,11,11,979,0,1,94,3,9,2,2,1.19,5,15,3,2,0
K. Kossa-Rienzi,SEA,11,8,815,3,1,85,1,8,4,10,0.75,6,9,2,0,0
M. Delgado,LAFC,14,11,1008,3,1,91,2,8,2,16,0.31,8,10,1,1,0
T. Muyumba,ATL,14,11,1015,3,1,92,0,8,1,12,0.51,16,3,0,3,0
D. Schnegg,CLT,9,5,519,4,1,80,4,3,2,7,0.12,9,3,1,3,0
O. Urhoghide,DAL,12,12,1079,0,1,86,2,8,3,3,1.33,15,15,1,4,0
F. Andrade,HOU,11,11,981,0,1,88,1,9,2,2,0.81,17,6,0,6,0
S. Spierings,RSL,11,9,758,2,1,93,2,8,4,8,0.48,17,7,0,1,0
E. Thommy,LA,9,5,426,4,1,82,1,17,6,7,1.11,3,13,1,1,0
K. Rosenberry,COL,11,2,411,9,1,83,0,4,2,6,0.32,5,2,0,0,0
K. Rowles,DC,14,14,1260,0,1,78,1,7,3,6,1.78,8,5,0,1,0
A. Gutman,CHI,10,9,788,1,1,75,2,10,2,10,0.87,11,5,1,3,0
A. Mohammed,NSH,4,1,73,3,1,80,0,2,2,0,0.8,4,1,0,0,0
D. Musovski,SEA,12,7,556,5,1,81,1,16,10,5,3.71,7,3,6,1,0
D. Da Costa,POR,11,11,896,0,1,90,4,10,3,16,0.8,6,9,2,1,0
G. Yow,NE,13,8,663,5,1,80,0,13,5,7,1.23,12,9,4,3,0
L. Deedson,DAL,7,3,253,4,1,69,0,7,1,3,0.59,4,1,1,0,0
J. Morris,SEA,10,6,541,4,1,80,2,13,7,10,2.34,2,5,3,0,0
J. Stroud,DC,9,4,347,5,1,68,1,8,6,6,0.41,12,8,1,2,0
F. Picault,ATL,7,1,185,6,1,73,1,3,1,4,0.45,2,4,1,0,0
N. Hagglund,CIN,13,9,858,4,1,85,1,10,3,1,1.42,11,4,1,1,0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,15,15,1259,0,1,84,6,23,10,38,2.99,11,30,4,3,0
I. Feingold,NE,9,8,666,1,1,88,1,6,1,9,1.78,3,14,0,1,0
M. Woledzi,NSH,14,13,1181,1,1,95,1,6,1,3,0.42,9,3,0,0,0
T. Blackmon,VAN,13,13,1170,0,1,91,3,11,4,2,2,13,10,2,2,0
B. Hines-Ike,ATX,11,11,943,0,1,94,0,5,4,2,0.43,6,7,1,2,0
N. Harriel,PHI,15,15,1350,0,1,73,3,16,6,5,1.9,23,25,0,2,0
R. Donkor,RBNY,14,14,1183,0,1,83,4,10,4,24,1.39,22,14,0,4,0
L. Berg Johnsen,SKC,11,10,909,1,1,89,3,7,2,8,0.74,12,2,0,2,0
J. Cifuentes,TOR,10,10,796,0,1,79,3,12,3,6,1.16,13,8,0,3,0
K. Duncan,MIN,12,10,829,2,1,86,1,5,2,8,0.68,16,15,1,2,0
M. Fofana,NE,13,13,1170,0,1,91,0,1,1,5,0.45,6,1,0,3,0
A. Chirila,CIN,6,4,419,2,1,86,0,3,2,1,0.08,1,4,0,1,0
W. Sands,NE,14,14,1197,0,1,83,1,9,2,8,1.07,15,25,0,2,0
S. Córdova,STL,10,4,492,6,1,68,0,7,2,2,0.65,7,15,5,1,0
J. Jasinski,SJ,7,4,384,3,1,84,0,5,2,3,0.54,8,2,0,1,0
G. Biro,ATX,12,11,856,1,1,83,2,10,3,7,1.35,13,15,1,4,1
K. Opoku,MTL,5,0,97,5,1,94,0,2,1,0,0.94,1,5,2,0,0
J. Mosquera,POR,3,1,69,2,1,91,1,2,2,1,0.27,3,1,0,0,0
I. Jaime,MTL,12,10,831,2,1,79,1,29,8,16,1.77,14,21,7,2,0
G. Valenzuela,CIN,13,9,776,4,1,88,4,13,5,14,1.29,17,24,0,2,1
S. Becher,STL,14,13,1082,1,1,71,4,29,6,15,5.4,24,18,7,1,0
T. Totland,STL,10,5,513,5,1,85,0,4,2,5,1.07,8,5,1,1,0
É. Ocampo,VAN,14,13,1100,1,1,83,4,11,2,16,0.98,20,15,2,5,0
J. Rosales,ATX,15,15,1280,0,1,85,2,16,3,9,0.73,28,25,2,2,0
G. Luján,MIA,13,9,839,4,1,86,0,4,1,4,0.48,13,7,0,3,0
M. Duggan,MIN,15,15,1350,0,1,87,0,9,5,3,1.58,17,4,1,4,0
G. Guerra,POR,6,3,278,3,1,75,1,5,2,2,0.58,1,1,1,0,0
